ds,yhat,yhat_lower,yhat_upper
2020-01-01,795.6370219243033,728.6011496292368,862.3658392194891
2020-01-02,875.1208250847799,807.176640635106,938.0917563165293
2020-01-03,894.6136423763847,828.8542250042457,960.1225501001945
2020-01-04,851.7381813261135,790.4928847010889,920.8759928425776
2020-01-05,762.4661763452547,691.3248604729889,828.0990206981819
2020-01-06,716.3760263070437,648.31540231193,778.1399197703857
2020-01-07,743.3799373330648,679.1709746100726,812.5244264289252
2020-01-08,828.2628792547633,759.9406560534535,894.8512292944617
2020-01-09,907.7926527670722,843.5129147534179,973.4803812685453
2020-01-10,927.3861082024072,858.0629359303803,991.3341521803565
2020-01-11,884.6623837475828,811.5242002608867,951.6926510152157
2020-01-12,795.5876562910803,727.961730842836,859.3680210591684
2020-01-13,749.7329771576285,681.4265568692578,812.0553915773125
2020-01-14,777.0016656210022,709.312352323556,847.5901636792878
2020-01-15,862.1685606052931,798.6184615973675,930.4919970089703
2020-01-16,941.990418294828,879.8382777296263,1005.7122633344816
2020-01-17,961.8724863141232,895.741547371611,1027.7414350645877
2020-01-18,919.4221114017992,854.8544638414999,985.1637678074824
2020-01-19,830.5938625185771,763.703677404594,897.9916313899384
2020-01-20,784.9477304307698,722.9057471565696,846.9415667668758
2020-01-21,812.3768657742884,746.3919977259573,882.4891963824435
2020-01-22,897.6471457894725,835.3261703024112,959.6047300576697
2020-01-23,977.5078481833127,912.1483517265119,1043.5320611043467
2020-01-24,997.3584547439524,927.3546415241186,1063.433488625231
2020-01-25,954.8024350482323,886.7475134606208,1023.1606576346421
2020-01-26,865.7924872610515,799.8352257535058,932.1950877999554
2020-01-27,819.8887938976181,753.0519987787359,882.8798566488315
2020-01-28,846.9867532511599,783.1848148881385,912.2110509677365
2020-01-29,931.8564772378767,866.8018124803989,997.8747143148139
2020-01-30,1011.2533365572585,943.4699203814845,1079.7754723978303
2020-01-31,1030.5845799842384,960.0140529761526,1093.3719472292778
2020-02-01,987.4628839730801,923.4488681089471,1058.837797478821
2020-02-02,897.8513168606024,829.4737834611573,961.4992472570337
2020-02-03,851.3212840538752,786.4360134683554,919.9627645325714
2020-02-04,877.7799243911466,815.3103011312986,944.7785175300345
2020-02-05,962.0092585928887,896.4581612067797,1029.2458615874264
2020-02-06,1040.7763812385808,972.7500016267012,1107.3327275049946
2020-02-07,1059.4997336905228,994.9875077763401,1125.2686706452569
2020-02-08,1015.8023244833885,947.7660342080906,1084.3597506031233
2020-02-09,925.6563912605204,862.1531229539494,995.5895820592176
2020-02-10,878.6410795706867,814.3399144688639,942.2335087715484
2020-02-11,904.6696165460618,842.0402852745262,972.1157422427135
2020-02-12,988.5282868695941,924.3571457143886,1055.8908636432323
2020-02-13,1066.986507432017,1001.3073845898731,1134.5527872754928
2020-02-14,1085.463041415632,1021.0485012798404,1146.7308922184027
2020-02-15,1041.5792198694328,975.3219121676284,1103.412621778703
2020-02-16,951.3036646273799,885.9640041474282,1015.9517520176651
2020-02-17,904.2100858711011,839.1185278707535,970.564864817304
2020-02-18,930.2046286411277,864.8745357933749,999.5245180181973
2020-02-19,1014.0650703985876,949.7617109155235,1082.6610469622474
2020-02-20,1092.5511593060721,1026.8069187351875,1156.1563856851496
2020-02-21,1111.0711260140442,1050.687992642816,1175.676856585526
2020-02-22,1067.2352280896446,1003.4739661348176,1131.7778601760424
2020-02-23,977.0008112968142,909.69068319812,1045.9425437054474
2020-02-24,929.9304509764639,862.3005420949451,994.2914854521546
2020-02-25,955.919637634887,894.1772383746044,1021.4988502844616
2020-02-26,1039.736298937021,975.5484766939629,1104.9808274229692
2020-02-27,1118.1314377981232,1052.557402898027,1183.7992759645256
2020-02-28,1136.5059114583416,1071.4767659091415,1204.6531308224355
2020-02-29,1092.464202028865,1030.5126063003693,1160.2919816469387
2020-03-01,1001.9596566257189,934.3510607904622,1073.91972431004
2020-03-02,954.5527551244252,890.8300462148353,1019.8847284024233
2020-03-03,980.1388661020343,915.6266807424527,1047.2963041161372
2020-03-04,1063.487781168719,999.9213285265231,1131.6309671238316
2020-03-05,1141.3543076500564,1076.115425156033,1207.7680405555825
2020-03-06,1159.144945138236,1093.3849835046008,1214.8266370750896
2020-03-07,1114.471500462591,1048.3412556942276,1182.737841487942
2020-03-08,1023.2961234705814,959.1401561745492,1090.741593059943
2020-03-09,975.189327874644,906.9123587676057,1041.243391909067
2020-03-10,1000.0574650713357,940.6317570815252,1067.2355657373982
2020-03-11,1082.6819494726938,1019.2972331923028,1152.2586933020623
2020-03-12,1159.8295243857267,1094.8736895072968,1221.7531329705687
2020-03-13,1176.9186035098596,1110.4953055465207,1246.4788788413357
2020-03-14,1131.5725523365932,1064.9150298712286,1194.8053644145327
2020-03-15,1039.7644014795796,971.7997672227195,1106.8669944079295
2020-03-16,991.0745654431997,923.4930839880653,1055.2319471473013
2020-03-17,1015.4180433370099,947.6843533857214,1081.0069478152495
2020-03-18,1097.5834077753836,1032.090429890529,1161.229444656334
2020-03-19,1174.342877576272,1108.0900156172404,1241.4709807719223
2020-03-20,1191.1185145989566,1124.0976568905085,1260.9912646890298
2020-03-21,1145.5354128214608,1082.2407349633504,1214.48949941831
2020-03-22,1053.566373948417,988.8542396956102,1119.443650360975
2020-03-23,1004.7896437050103,940.7852170865641,1064.7296951350138
2020-03-24,1029.1161843595648,963.8977389184258,1091.4769976876332
2020-03-25,1111.3287871679095,1045.5864426921041,1175.8042912899177
2020-03-26,1188.1923163224824,1120.724719665074,1252.5242370414635
2020-03-27,1205.1201193459176,1137.4572047585718,1265.389878649084
2020-03-28,1159.727465463208,1095.4744731284609,1225.8422000026248
2020-03-29,1067.9764986667114,1005.438479316894,1131.466299714122
2020-03-30,1019.4342713239722,951.6276457904664,1088.8265524394574
2020-03-31,1044.000325055994,976.7585198054763,1105.8816127845075
2020-04-01,1126.4461135380595,1059.4233256397308,1185.992193263482
2020-04-02,1203.5255497953722,1134.0264670488182,1266.8755595240987
2020-04-03,1220.6417042442833,1155.980668979224,1284.4973320735246
2020-04-04,1175.400506868199,1114.8315336914948,1243.8354957424772
2020-04-05,1083.7559329104683,1019.9100610887948,1148.4449310921675
2020-04-06,1035.268231611515,971.365476830702,1108.0921867819088
2020-04-07,1059.831659580326,990.2330394744267,1124.8181243748809
2020-04-08,1142.214009649853,1080.2221844955097,1206.1070374835265
2020-04-09,1219.167215426117,1154.3265878811096,1282.7733339821093
2020-04-10,1236.094056898267,1172.4037964668087,1295.6164215129047
2020-04-11,1190.6018211239725,1120.513903839875,1253.2547489129631
2020-04-12,1098.6473994623725,1033.7555924423498,1163.2152239310624
2020-04-13,1049.795384359773,984.4196519367573,1114.8777794766045
2020-04-14,1073.9456320251986,1006.6771032575069,1135.501142190308
2020-04-15,1155.872587702814,1088.7514403427556,1221.2325742192133
2020-04-16,1232.33566052865,1168.0655824359058,1294.8526994926476
2020-04-17,1248.7456808223767,1181.3650726103926,1312.1021165038821
2020-04-18,1202.7183017738603,1141.8473518690032,1271.290729734922
2020-04-19,1110.2188351716068,1042.4533134290639,1170.3036969826612
2020-04-20,1060.8200778861737,993.5092191127187,1127.3643821000944
2020-04-21,1084.429675389069,1019.0533604780255,1148.244950925774
2020-04-22,1165.8291821517032,1098.5576662288897,1230.4137321137252
2020-04-23,1241.7842566660083,1176.5410557864368,1305.5346363775852
2020-04-24,1257.7109574833776,1190.9638643569485,1325.6304553041757
2020-04-25,1211.2290211596508,1148.1609444730893,1281.3321450686817
2020-04-26,1118.3066150351137,1052.1454611384825,1183.853594436722
2020-04-27,1068.5181379212456,1002.4682038398229,1134.0202671801794
2020-04-28,1091.771543441391,1026.2660581292946,1157.2011715863682
2020-04-29,1172.847489225773,1107.8442689607202,1239.6184439512156
2020-04-30,1248.5096033327495,1179.5506537744918,1314.0493845811236
2020-05-01,1264.1709029317897,1198.980718032585,1333.5701486607647
2020-05-02,1217.4472271069371,1153.5151964068943,1283.6657468202197
2020-05-03,1124.3021710991331,1057.0495619067508,1190.4249715838262
2020-05-04,1074.3050886388908,1011.1865622714447,1140.9998803532474
2020-05-05,1097.3586300769769,1027.4017378721894,1161.9317261996591
2020-05-06,1178.238112115495,1107.072317254698,1242.7459987440516
2020-05-07,1253.7020029575315,1191.4247462607766,1318.7304777451632
2020-05-08,1269.1585504693264,1207.2744169617251,1335.274126474819
2020-05-09,1222.2194081109833,1155.5622159309592,1284.423480216936
2020-05-10,1128.8447394210195,1060.97671314263,1196.0853295413972
2020-05-11,1078.601361949154,1009.8351597961873,1141.1905302635928
2020-05-12,1101.3903935492624,1039.6114144958165,1165.9910150011067
2020-05-13,1181.98669315158,1115.757128659159,1246.0589411396927
2020-05-14,1257.149377382136,1186.8851836653457,1321.553309916245
2020-05-15,1272.2884394730881,1205.2927581879605,1341.8263771832167
2020-05-16,1225.018325434334,1158.6334848202882,1292.9944906888531
2020-05-17,1131.302949802424,1068.9421799703773,1196.9714103122412
2020-05-18,1080.7137147029862,1016.7161590383645,1147.5343788596288
2020-05-19,1103.1569991734034,1039.750403067204,1167.1300950408647
2020-05-20,1183.4134159800353,1118.174260406332,1248.7952040536748
2020-05-21,1258.2481233231292,1189.9344210775873,1328.6185249272175
2020-05-22,1273.0772246267018,1209.69463560821,1339.313847152459
2020-05-23,1225.521118643767,1158.4056120168273,1293.6560441009842
2020-05-24,1131.549289733322,1068.2283549521862,1196.4628264108285
2020-05-25,1080.738109622771,1012.7516845489802,1148.4561731040744
2020-05-26,1102.9981249855853,1036.2427007931162,1167.4364020097955
2020-05-27,1183.1131349936304,1118.9877213162174,1247.7011482284547
2020-05-28,1257.850352522271,1195.1184205268337,1324.3236614608395
2020-05-29,1272.6266876068307,1205.9052681737865,1339.9791711162422
2020-05-30,1225.0620197409996,1159.1467597969836,1292.7117353691124
2020-05-31,1131.1239520545475,1065.2689620198319,1195.836731035819
2020-06-01,1080.3856205489592,1017.009882370621,1145.8148089781937
2020-06-02,1102.7530332345646,1037.6750385499984,1170.8631321564915
2020-06-03,1183.004242438606,1119.0844676158774,1253.9726321665319
2020-06-04,1257.899641699691,1191.002306510362,1321.794155076992
2020-06-05,1272.8484222658512,1206.4391085153786,1340.7736846450666
2020-06-06,1225.4620509900792,1158.8800895750608,1293.4471239134361
2020-06-07,1131.699256788009,1066.5109729314445,1198.7399235990085
2020-06-08,1081.124092060337,1015.8760732286648,1146.539450571805
2020-06-09,1103.6335364484578,1039.7725155294763,1166.0042819063908
